,SKU,Product_Name,Category,main_category,sub_category,Is_Bridal,Has_Discount,is_bestseller,Definition,Product_URL,Extra_Detail_on_Product,Delivery_Time,NeckPiece_Type,Earing_Type,Haaram_Length,Earring_Length,Dome_Width,Available_Options,Availability_Rope_Addon,Availability_Chain_Addon,Availability_Size_2.4,Availability_Size_2.6,Availability_Size_2.8,Availability_Size_2.10,Availability,Size_2.4_availability,Size_2.6_availability,Size_2.8_availability,Size_2.10_availability,Any_Size_Available,Rope_Cost,Chain_Cost,Size_2.4_Cost,Size_2.6_Cost,Size_2.8_Cost,Size_2.10_Cost,Base_Price_Without_Addon,Discounted_Base_Price_Without_Addon,Final_Price_with_Rope_Addon,Final_Price_with_Chain_Addon,american,antique,indo,kerala,mediterranean,traditional,royal,victorian,vintage,western,work,party,bold,invisible,goddess,floral,coin,krishna,lakshmi,maangaz,peacock,tamara,temple,coral,beaded,emerald,pearl,ruby,stoned
0,M57611,aathmika version 3 haaram,"American Diamond, Exclusive, Haaram",American Diamond,Haaram,0,0,0,trilayered antique black gold finished victorian handcrafted exquisite stone worked green beaded haaram set with bold earrings,https://madeforhers.in/product/aathmika-version-3-haaram-2/,The length of the haaram can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,12,2.5,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,2429,No Discount,2429,2489,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,M91478,ajanta victoria neckpiece – aadi,"American Diamond, Golden Jewellery, Neckpiece",American Diamond,Neckpiece,0,1,0,antique gold finished exquisite american diamond stone worked peacock and elephant designed cluster rice pearl and golden beaded victoria pattern nekpiece set with statement earrings,https://madeforhers.in/product/ajanta-victoria-neckpiece/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,1.9,Not Applicable,Not Applicable,0,0,0,0,0,0,Out of stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,2099,2029,Not Applicable,Not Applicable,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2,M92687,alex butterfly neckpiece set – indhu,"American Diamond, Golden Jewellery, Neckpiece",American Diamond,Neckpiece,0,0,0,antique gold finished american diamond multi coloured stone worked party wear neckpiece set,https://madeforhers.in/product/alex-butterfly-neckpiece-set/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,0.9,Not Applicable,Not Applicable,0,0,0,0,0,0,Out of stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,929,No Discount,Not Applicable,Not Applicable,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,M16513,Angarakka party wear,"American Diamond, Golden Jewellery, Neckpiece, New Arrivals",American Diamond,Neckpiece,0,0,0,antique gold finished American diamond stone worked floral designed and 3d pavazham beaded party wear neckpiece set,https://madeforhers.in/product/angarakka-party-wear-2/,No extra details available for this product,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,Not Applicable,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,1649,No Discount,1649,1709,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
4,M64435,Angarakka party wear,"American Diamond, Golden Jewellery, Neckpiece, New Arrivals",American Diamond,Neckpiece,0,0,0,antique gold finished American diamond micro stone worked floral and 3d pavazham beaded party wear neckpiece set,https://madeforhers.in/product/angarakka-party-wear/,No extra details available for this product,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,Not Applicable,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,1629,No Discount,1629,1689,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
5,M74851,Arya interchangeables neckpiece set,"American Diamond, Golden Jewellery, Neckpiece, Re Stocks",American Diamond,Neckpiece,0,0,0,antique gold finished american diamond stone worked peacock designed one base and three different color interchangables with jhumkas,https://madeforhers.in/product/arya-interchangeables-neckpiece-set/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,1.8,0.4,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,1329,No Discount,1329,1389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,M76859,catherine midlength neckpiece set-cindrella diamond replica,"American Diamond, Golden Jewellery, Neckpiece",American Diamond,Neckpiece,0,0,0,GJ polish American diamond heavy stoned worked floral pattern  midlength neckpiece set,https://madeforhers.in/product/catherine-midlength-neckpiece-set/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,2,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,2799,No Discount,2799,2859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,M36251,chanakiya victorian neckpiece – Trisha,"American Diamond, Choker Piece",American Diamond,Chocker Piece,0,0,0,antique gold finished jadau stone worked cluster pearl victorian designed statement choker neckpiece set,https://madeforhers.in/product/chanakiya-victorian-neckpiece/,No extra details available for this product,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,Not Applicable,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,3049,No Discount,3049,3109,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,M99331,charlz party wear,"American Diamond, Golden Jewellery, Neckpiece, Re Stocks",American Diamond,Neckpiece,0,0,0,american dimaond floral designed grand stone worked neckpieces set,https://madeforhers.in/product/charlz-party-wear/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,9,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,1129,No Discount,1129,1189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,M11375,charlz version 2,"American Diamond, Golden Jewellery, Neckpiece",American Diamond,Neckpiece,0,0,0,antique gold finished american diamond stone worked floral pattern indo western party wear neckpiece set,https://madeforhers.in/product/charlz-version-2/,No extra details available for this product,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,Out of stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,1079,No Discount,Not Applicable,Not Applicable,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
